wavelength,nflux
853.178,16412839839623.693
853.1782,16423051773827.793
853.1784,16433263698368.928
853.1786000000001,16443475613247.146
853.1788000000001,16451984238181.021
853.1790000000001,16462196134538.9
853.1792000000002,16470704742563.496
853.1794000000001,16475802800879.805
853.1796,16482608115706.725
853.1797999999999,16486006872409.3
853.18,16489405625893.094
853.1802,16492804376158.145
853.1804,16494499849779.213
853.1806,16497898594412.252
853.1808000000002,16499594064012.344
853.1810000000002,16501289532004.723
853.1812,16504688268592.541
853.1814,16508087001961.596
853.1815999999999,16513189000704.064
853.1818,16516587726830.133
853.182,16521689716718.543
853.1822000000001,16526791701777.209
853.1824,16530190416636.021
853.1826000000001,16535292392840.66
853.1828000000002,16536987836697.441
853.183,16540386541900.07
853.1832,16542081981735.908
853.1834,16543777419964.059
853.1836,16543769596047.473
853.1838,16545465031865.709
853.184,16545457207150.24
853.1842000000001,16545449382438.098
853.1844000000001,16547144815044.236
853.1846000000002,16547136989533.201
853.1848000000001,16548828416156.148
853.1850000000001,16550523844335.285
853.1851999999999,16552219270906.748
853.1854,16553914695870.5
853.1856,16552203615086.803
853.1858000000001,16552195787181.807
853.186,16548781458362.39
853.1862000000002,16547070382421.654
853.1864000000002,16543656059247.41
853.1866,16538538491256.14
853.1868000000001,16535124175338.041
853.1869999999999,16530006616213.945
853.1872,16526592307552.021
853.1874,16524881246935.758
853.1876000000001,16523170187933.793
853.1878,16523162373755.48
853.1880000000001,16524857801984.334
853.1882000000003,16524849987007.137
853.1884,16526545412826.094
853.1886000000001,16528240837037.355
853.1888,16528233020459.111
853.189,16528225203884.172
853.1892,16528217387312.523
853.1894,16526506333978.87
853.1896000000002,16523092046299.703
853.1898000000001,16521380997000.162
